models,router_thres,conf_thres
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
"[2, 3]",0.2,0.5
